STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,geometry,from_id,ALI17_45,AMI17_45,AHI17_45,ATOT17_45,ALI22_45,AMI22_45,AHI22_45,ATOT22_45,diff_LI,diff_MI,diff_HI,diff_TOT,tract_id_17,LI17_rac,MI17_rac,HI17_rac,TOT17_rac,tract_id_22,LI22_rac,MI22_rac,HI22_rac,TOT22_rac,ALI17_45_n,ALI22_45_n,AMI17_45_n,AMI22_45_n,AHI17_45_n,AHI22_45_n,ATOT17_45_n,ATOT22_45_n,ALI_diff_n,AMI_diff_n,AHI_diff_n,ATOT_diff_n
48,453,002201,1400000US48453002201,48453002201,22.01,Census Tract 22.01,TX,Travis County,Texas,CT,5089677,1348,"POLYGON ((-97.673228 30.32572, -97.670255 30.326745, -97.665877 30.327694, -97.654874 30.328725, -97.646836 30.329264, -97.643998 30.329539, -97.644026 30.328962, -97.644439 30.324184, -97.645745 30.311987, -97.647044 30.309601, -97.650726 30.303263, -97.652473 30.30224, -97.655374 30.303239, -97.660845 30.302622, -97.660709 30.305135, -97.662197 30.312858, -97.663016 30.316097, -97.664242 30.318339, -97.666522 30.32064, -97.672429 30.325104, -97.673228 30.32572))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,453,000304,1400000US48453000304,48453000304,3.04,Census Tract 3.04,TX,Travis County,Texas,CT,1192522,0,"POLYGON ((-97.724607 30.306998, -97.718528 30.316422, -97.715515 30.314952, -97.714628 30.315025, -97.715068 30.314008, -97.70943 30.311346, -97.710448 30.30959, -97.712423 30.306487, -97.715267 30.302011, -97.715981 30.303624, -97.719615 30.304854, -97.723914 30.306838, -97.724607 30.306998))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,453,000803,1400000US48453000803,48453000803,8.03,Census Tract 8.03,TX,Travis County,Texas,CT,1444991,0,"POLYGON ((-97.732498 30.271846, -97.730048 30.278506, -97.728487 30.278568, -97.721237 30.279806, -97.717271 30.280438, -97.714288 30.280957, -97.708497 30.281826, -97.7085 30.281336, -97.711 30.275175, -97.715978 30.27436, -97.719908 30.273786, -97.731885 30.271868, -97.732498 30.271846))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,453,002002,1400000US48453002002,48453002002,20.02,Census Tract 20.02,TX,Travis County,Texas,CT,1589727,0,"POLYGON ((-97.790991 30.225755, -97.788341 30.229902, -97.785974 30.228782, -97.784406 30.228267, -97.782375 30.227852, -97.776492 30.22758, -97.777119 30.221661, -97.778358 30.21973, -97.781448 30.218106, -97.786214 30.217577, -97.789441 30.216455, -97.789661 30.217532, -97.793763 30.221378, -97.790991 30.225755))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,453,002113,1400000US48453002113,48453002113,21.13,Census Tract 21.13,TX,Travis County,Texas,CT,2094017,0,"POLYGON ((-97.681564 30.315733, -97.679152 30.320242, -97.67918 30.321594, -97.680502 30.322786, -97.680785 30.32309, -97.679019 30.323672, -97.673228 30.32572, -97.672429 30.325104, -97.666522 30.32064, -97.664242 30.318339, -97.663016 30.316097, -97.663572 30.315283, -97.66404 30.314671, -97.66501 30.313077, -97.666631 30.310586, -97.667152 30.310063, -97.66804 30.309522, -97.669063 30.308986, -97.670766 30.308532, -97.671024 30.309093, -97.67657 30.311942, -97.680925 30.314755, -97.681564 30.315733))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,491,020321,1400000US48491020321,48491020321,203.21,Census Tract 203.21,TX,Williamson County,Texas,CT,1849383,0,"POLYGON ((-97.855118 30.552186, -97.854547 30.553605, -97.853335 30.555016, -97.844141 30.557959, -97.841785 30.553137, -97.841605 30.552213, -97.841787 30.548216, -97.841681 30.547696, -97.840157 30.544162, -97.846779 30.542146, -97.84551 30.538952, -97.845393 30.537946, -97.847598 30.53628, -97.849927 30.541668, -97.85302 30.54878, -97.853706 30.550089, -97.85549 30.551639, -97.855118 30.552186))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,491,021100,1400000US48491021100,48491021100,211,Census Tract 211,TX,Williamson County,Texas,CT,2336664,4719,"POLYGON ((-97.435523 30.56795, -97.43259 30.568012, -97.432542 30.569957, -97.435041 30.575737, -97.430284 30.577238, -97.428738 30.57354, -97.423384 30.575234, -97.423137 30.575313, -97.418323 30.576832, -97.417225 30.574232, -97.415635 30.574372, -97.415092 30.573072, -97.408867 30.573588, -97.406627 30.573768, -97.406007 30.56796, -97.406676 30.567592, -97.409336 30.567381, -97.420862 30.56666, -97.434029 30.565992, -97.435523 30.56795))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,209,010500,1400000US48209010500,48209010500,105,Census Tract 105,TX,Hays County,Texas,CT,12766272,15186,"POLYGON ((-98.018657 29.812175, -98.013956 29.816075, -98.00477 29.82415, -97.999521 29.82949, -97.997756 29.830946, -97.993799 29.833286, -97.989465 29.837397, -97.988494 29.83854, -97.986508 29.840418, -97.986213 29.840691, -97.983854 29.84239, -97.98253 29.843439, -97.98108 29.845345, -97.980013 29.846525, -97.972981 29.853015, -97.972126 29.854751, -97.971243 29.855929, -97.965013 29.861541, -97.964043 29.863651, -97.963235 29.865562, -97.962316 29.867783, -97.961625 29.868857, -97.958238 29.871235, -97.955461 29.87365, -97.955041 29.873974, -97.953924 29.87298, -97.952325 29.874392, -97.951188 29.873473, -97.949204 29.875193, -97.946354 29.872723, -97.946622 29.875221, -97.943304 29.876254, -97.945824 29.878222, -97.944558 29.879342, -97.939677 29.880241, -97.93929 29.878022, -97.93838 29.878072, -97.936496 29.87924, -97.936704 29.881601, -97.935205 29.882495, -97.932733 29.879011, -97.933335 29.87652, -97.93105 29.876486, -97.931675 29.874781, -97.937573 29.870476, -97.939097 29.869145, -97.94798 29.861392, -97.953103 29.85682, -98.009107 29.806444, -98.015044 29.801057, -98.01518 29.801485, -98.018657 29.812175))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,053,960200,1400000US48053960200,48053960200,9602,Census Tract 9602,TX,Burnet County,Texas,CT,762023937,17190904,"POLYGON ((-98.459241 31.010378, -98.458745 31.011545, -98.456954 31.013157, -98.451725 31.015449, -98.448291 31.016703, -98.445604 31.018051, -98.442327 31.020476, -98.440293 31.023184, -98.439528 31.025125, -98.4394 31.028241, -98.439711 31.029647, -98.339248 31.030383, -98.293908 31.030819, -98.269378 31.031062, -98.243709 31.0313, -98.225219 31.0315, -98.194327 31.031766, -98.19379 31.03181, -98.164029 31.032057, -98.15805 31.018436, -98.157823 31.01684, -98.158811 31.015969, -98.156124 31.009815, -98.154755 31.004754, -98.154528 31.002307, -98.155681 31.000476, -98.154677 30.997681, -98.15493 30.996429, -98.157015 30.993305, -98.157984 30.990426, -98.156986 30.987404, -98.15524 30.985964, -98.154897 30.985186, -98.147531 30.980746, -98.145945 30.979472, -98.14496 30.974074, -98.143404 30.967882, -98.143726 30.960501, -98.145024 30.955997, -98.144171 30.953345, -98.14451 30.952088, -98.140664 30.942755, -98.138862 30.940005, -98.138157 30.937938, -98.138061 30.935597, -98.137421 30.933135, -98.134465 30.925761, -98.134468 30.924613, -98.13245 30.920409, -98.128961 30.91813, -98.128099 30.916665, -98.126076 30.915333, -98.122599 30.910924, -98.119124 30.907041, -98.118521 30.90479, -98.119078 30.898933, -98.122017 30.897543, -98.121245 30.893282, -98.11958 30.889387, -98.11692 30.884482, -98.117255 30.880905, -98.117196 30.877565, -98.115849 30.874995, -98.115729 30.871545, -98.116671 30.868541, -98.11309 30.859866, -98.11031 30.856031, -98.10783 30.854041, -98.100424 30.84709, -98.097402 30.842666, -98.096235 30.841058, -98.094926 30.837587, -98.091759 30.832843, -98.089812 30.827625, -98.088442 30.826524, -98.083958 30.824478, -98.082457 30.823025, -98.080445 30.818271, -98.104849 30.810506, -98.110093 30.809097, -98.119479 30.806159, -98.117136 30.800627, -98.113997 30.801348, -98.110251 30.792621, -98.109046 30.79191, -98.107931 30.785922, -98.105276 30.779639, -98.099223 30.78141, -98.095947 30.773736, -98.094416 30.771569, -98.093394 30.769151, -98.09053 30.766634, -98.104554 30.762178, -98.098154 30.746512, -98.098061 30.746277, -98.100533 30.7463, -98.134594 30.752232, -98.135846 30.752325, -98.138416 30.751846, -98.144524 30.749745, -98.146096 30.74945, -98.164339 30.74943, -98.181248 30.750938, -98.199377 30.752685, -98.200699 30.753018, -98.201356 30.753894, -98.201351 30.754726, -98.202405 30.755655, -98.20187 30.758628, -98.202563 30.761361, -98.192865 30.763288, -98.187652 30.764583, -98.188696 30.768422, -98.187269 30.768446, -98.188409 30.772932, -98.204696 30.77593, -98.204804 30.776262, -98.200853 30.777126, -98.197477 30.778179, -98.190548 30.782923, -98.189193 30.783684, -98.181722 30.787014, -98.171952 30.790593, -98.170954 30.79111, -98.164059 30.792641, -98.167072 30.792315, -98.168269 30.79336, -98.171734 30.793665, -98.172373 30.794363, -98.172075 30.79652, -98.173732 30.798253, -98.174239 30.80032, -98.17632 30.80085, -98.180091 30.800553, -98.182376 30.80133, -98.184006 30.802518, -98.186782 30.802829, -98.187474 30.803487, -98.189666 30.803875, -98.191843 30.804887, -98.194095 30.806701, -98.196221 30.807225, -98.197201 30.806116, -98.200771 30.805546, -98.203776 30.80607, -98.207237 30.806317, -98.21067 30.806199, -98.211679 30.806549, -98.213397 30.806016, -98.216705 30.813642, -98.21702 30.815, -98.21704 30.818612, -98.219019 30.823061, -98.224083 30.822657, -98.230464 30.824015, -98.234063 30.822867, -98.238798 30.820966, -98.240025 30.804854, -98.239892 30.802633, -98.238055 30.794566, -98.238523 30.79374, -98.238408 30.791506, -98.237432 30.788488, -98.238722 30.785376, -98.238162 30.783903, -98.238087 30.781597, -98.240607 30.784502, -98.241111 30.786557, -98.241185 30.789775, -98.24323 30.791057, -98.244914 30.792976, -98.248123 30.795855, -98.248643 30.796711, -98.249894 30.796467, -98.251283 30.794722, -98.25085 30.792542, -98.251408 30.7915, -98.251376 30.789314, -98.250511 30.786984, -98.25054 30.785572, -98.251765 30.784459, -98.249157 30.783369, -98.247456 30.781946, -98.246393 30.77936, -98.2439 30.777584, -98.243924 30.777665, -98.240132 30.776112, -98.241632 30.776375, -98.243193 30.774456, -98.24561 30.774543, -98.245847 30.7726, -98.248435 30.77143, -98.250108 30.772407, -98.2512 30.771927, -98.253576 30.772423, -98.255797 30.774673, -98.258033 30.775612, -98.260728 30.775238, -98.261894 30.773516, -98.261891 30.771019, -98.267077 30.763944, -98.26813 30.762432, -98.269291 30.760784, -98.27153 30.760847, -98.273677 30.760885, -98.284681 30.762251, -98.28593 30.766135, -98.286022 30.766464, -98.287358 30.771074, -98.288406 30.773044, -98.290697 30.778521, -98.295025 30.782501, -98.300468 30.788062, -98.302752 30.792559, -98.304818 30.795317, -98.307045 30.796477, -98.309947 30.797009, -98.314579 30.798762, -98.319019 30.802071, -98.320704 30.802933, -98.331284 30.807105, -98.334852 30.809063, -98.339367 30.813382, -98.340203 30.814455, -98.340193 30.817347, -98.338929 30.820836, -98.338997 30.825886, -98.338468 30.827165, -98.335534 30.831368, -98.334516 30.833616, -98.333965 30.836082, -98.334098 30.83711, -98.3355 30.839202, -98.336046 30.840897, -98.33593 30.843205, -98.338975 30.844816, -98.341025 30.84256, -98.342237 30.839809, -98.34301 30.836842, -98.345917 30.83656, -98.35324 30.834832, -98.358207 30.832441, -98.361805 30.831474, -98.366018 30.831235, -98.368757 30.831805, -98.374394 30.832205, -98.376811 30.831875, -98.376877 30.83489, -98.379578 30.837223, -98.381371 30.838202, -98.388229 30.840576, -98.393646 30.84296, -98.397636 30.843813, -98.401384 30.843996, -98.404977 30.843823, -98.405769 30.842984, -98.406903 30.839051, -98.408851 30.836559, -98.412468 30.835114, -98.415718 30.834728, -98.421593 30.834997, -98.422089 30.835646, -98.422211 30.83923, -98.421026 30.845025, -98.419632 30.850876, -98.41935 30.859121, -98.420738 30.862213, -98.422365 30.864188, -98.426871 30.867293, -98.431557 30.869432, -98.434113 30.870127, -98.437782 30.870567, -98.445867 30.870327, -98.448326 30.870588, -98.45079 30.871435, -98.452493 30.87231, -98.454299 30.874199, -98.456352 30.876455, -98.457382 30.878897, -98.457207 30.881147, -98.456436 30.883095, -98.454178 30.885838, -98.449493 30.889439, -98.448753 30.890335, -98.448471 30.892838, -98.449356 30.896605, -98.449463 30.903162, -98.449173 30.907026, -98.44833 30.911841, -98.447322 30.917073, -98.445782 30.921439, -98.444599 30.923109, -98.441898 30.925865, -98.440202 30.92652, -98.435122 30.927104, -98.429207 30.926435, -98.422331 30.924259, -98.419606 30.925352, -98.418746 30.92626, -98.417137 30.929546, -98.416826 30.931963, -98.414508 30.94211, -98.414864 30.943479, -98.416033 30.944851, -98.419838 30.9468, -98.424688 30.948376, -98.427553 30.948689, -98.434255 30.94891, -98.441977 30.949645, -98.445875 30.950697, -98.447098 30.951755, -98.450534 30.958646, -98.452796 30.964399, -98.452897 30.968727, -98.452203 30.970227, -98.450734 30.971628, -98.443229 30.979735, -98.442154 30.982496, -98.441874 30.984324, -98.442576 30.98619, -98.446185 30.992898, -98.453146 30.99957, -98.456621 31.003564, -98.458546 31.006184, -98.459235 31.007745, -98.459241 31.010378))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,055,960600,1400000US48055960600,48055960600,9606,Census Tract 9606,TX,Caldwell County,Texas,CT,492994229,923597,"POLYGON ((-97.754293 29.718754, -97.725891 29.740262, -97.724281 29.739427, -97.722851 29.739925, -97.717324 29.744209, -97.714924 29.742605, -97.707244 29.74839, -97.705628 29.746879, -97.704343 29.749243, -97.700191 29.751744, -97.698242 29.755138, -97.69281 29.758886, -97.691279 29.760368, -97.681016 29.768208, -97.679355 29.769787, -97.679349 29.772377, -97.681484 29.775543, -97.679716 29.776403, -97.676747 29.776801, -97.671894 29.775644, -97.668206 29.778218, -97.661843 29.783136, -97.660772 29.781076, -97.658259 29.782323, -97.65567 29.783598, -97.654294 29.785513, -97.648046 29.790133, -97.647364 29.79129, -97.649438 29.793424, -97.64575 29.796093, -97.64378 29.793415, -97.64274 29.794227, -97.641199 29.793713, -97.640378 29.79455, -97.638924 29.793071, -97.637928 29.793692, -97.636607 29.792162, -97.633738 29.790932, -97.633706 29.789294, -97.632084 29.787852, -97.629756 29.786586, -97.628281 29.786417, -97.623966 29.787216, -97.623103 29.786469, -97.617724 29.785311, -97.618028 29.784383, -97.617431 29.782441, -97.616592 29.782498, -97.614465 29.780514, -97.613596 29.779079, -97.611797 29.778455, -97.61209 29.777656, -97.611248 29.776081, -97.612052 29.775411, -97.610767 29.773548, -97.611005 29.771855, -97.608886 29.771084, -97.607984 29.769052, -97.605993 29.768453, -97.605298 29.766271, -97.60367 29.767059, -97.595033 29.772917, -97.592662 29.774946, -97.562305 29.810132, -97.561677 29.810845, -97.526176 29.852586, -97.523101 29.853106, -97.513592 29.851404, -97.511445 29.851395, -97.508167 29.852463, -97.502654 29.856525, -97.492987 29.857853, -97.487771 29.85779, -97.470385 29.855024, -97.469118 29.854632, -97.461883 29.851192, -97.4606 29.85079, -97.444761 29.848078, -97.442117 29.84732, -97.439004 29.845265, -97.436629 29.844395, -97.433122 29.843989, -97.43121 29.843309, -97.428451 29.841367, -97.426551 29.840659, -97.422965 29.840528, -97.419908 29.839852, -97.3959 29.827827, -97.394052 29.833526, -97.393153 29.834935, -97.3854 29.844933, -97.357699 29.821797, -97.351652 29.816916, -97.315823 29.786541, -97.317893 29.784658, -97.409777 29.734258, -97.451439 29.711354, -97.511442 29.678372, -97.595145 29.632185, -97.597695 29.630745, -97.595788 29.633577, -97.594679 29.636493, -97.596855 29.638257, -97.597265 29.640431, -97.596033 29.641232, -97.596529 29.6429, -97.594376 29.644735, -97.595381 29.647521, -97.59545 29.648396, -97.597564 29.647169, -97.598116 29.645457, -97.599057 29.64609, -97.600156 29.646159, -97.600481 29.646331, -97.600789 29.647106, -97.601676 29.647857, -97.602302 29.649178, -97.602372 29.64996, -97.602203 29.650766, -97.602181 29.652519, -97.602262 29.652786, -97.602136 29.653761, -97.602091 29.653904, -97.601926 29.654045, -97.601428 29.654283, -97.600797 29.654508, -97.599235 29.655197, -97.602056 29.657424, -97.602251 29.658287, -97.603862 29.658879, -97.606825 29.66029, -97.607471 29.661578, -97.606177 29.662081, -97.608108 29.665834, -97.61027 29.665173, -97.612678 29.663596, -97.613641 29.664612, -97.615509 29.664857, -97.615079 29.667163, -97.617996 29.66984, -97.618751 29.669811, -97.6197 29.670018, -97.620898 29.67162, -97.623093 29.672473, -97.622659 29.675025, -97.624818 29.676441, -97.624775 29.677127, -97.62519 29.678914, -97.627907 29.678449, -97.629179 29.679495, -97.628346 29.680408, -97.627591 29.682461, -97.625667 29.682881, -97.624227 29.684634, -97.625958 29.686421, -97.627217 29.685412, -97.627792 29.685609, -97.628805 29.686462, -97.62963 29.691454, -97.633071 29.693645, -97.63342 29.695306, -97.632758 29.698103, -97.634809 29.701264, -97.634854 29.702058, -97.638705 29.703979, -97.640391 29.704169, -97.641478 29.706059, -97.640696 29.708496, -97.641804 29.711237, -97.643109 29.712491, -97.64348 29.714712, -97.643634 29.712872, -97.642941 29.71029, -97.644712 29.712596, -97.648324 29.714583, -97.650278 29.715102, -97.652605 29.71806, -97.65543 29.718402, -97.655783 29.719318, -97.655863 29.718899, -97.655596 29.717365, -97.654257 29.713044, -97.654177 29.712245, -97.654634 29.710534, -97.655182 29.709253, -97.655464 29.707983, -97.655882 29.707677, -97.664078 29.711429, -97.674051 29.716166, -97.677745 29.718085, -97.679324 29.719386, -97.679073 29.717107, -97.679877 29.712075, -97.678634 29.709648, -97.680138 29.706779, -97.67867 29.704107, -97.67877 29.701877, -97.677809 29.701852, -97.678301 29.69957, -97.677103 29.698541, -97.677567 29.69691, -97.677513 29.691517, -97.679286 29.689427, -97.679596 29.686279, -97.677561 29.68544, -97.678663 29.683885, -97.677265 29.682498, -97.677199 29.679539, -97.675907 29.677546, -97.675827 29.676953, -97.675585 29.675373, -97.672359 29.674071, -97.671965 29.672216, -97.671102 29.673153, -97.667771 29.670922, -97.666292 29.670933, -97.667852 29.670282, -97.66805 29.668687, -97.665209 29.668043, -97.66591 29.666905, -97.669162 29.66753, -97.670864 29.667063, -97.67117 29.664116, -97.673466 29.663197, -97.675135 29.666085, -97.673878 29.668222, -97.675933 29.668134, -97.677592 29.668775, -97.676575 29.667099, -97.678368 29.666761, -97.678484 29.664469, -97.680498 29.663623, -97.683823 29.664269, -97.682072 29.665919, -97.683594 29.66717, -97.683864 29.666057, -97.685813 29.665667, -97.68723 29.666673, -97.686587 29.667295, -97.685326 29.666261, -97.685188 29.667446, -97.686128 29.669503, -97.688301 29.672589, -97.689791 29.671823, -97.691617 29.672366, -97.690701 29.673096, -97.698284 29.669249, -97.697325 29.667923, -97.698511 29.666988, -97.699477 29.667424, -97.700536 29.668413, -97.702229 29.668592, -97.702197 29.670099, -97.703421 29.670482, -97.703299 29.673072, -97.703849 29.674249, -97.706075 29.67455, -97.705317 29.675889, -97.705862 29.67715, -97.704784 29.679112, -97.705641 29.680218, -97.703855 29.681267, -97.704558 29.682615, -97.706378 29.682712, -97.708451 29.683733, -97.711705 29.6815, -97.715574 29.682105, -97.717215 29.681797, -97.717737 29.682614, -97.716759 29.683742, -97.71764 29.684115, -97.721852 29.682088, -97.722852 29.682557, -97.72145 29.684163, -97.722104 29.68552, -97.725625 29.685672, -97.727576 29.687892, -97.731985 29.690127, -97.733415 29.690541, -97.734592 29.691075, -97.73572 29.691198, -97.735409 29.693618, -97.737992 29.696254, -97.740339 29.696784, -97.742698 29.69667, -97.743629 29.697496, -97.743347 29.698841, -97.736996 29.701954, -97.735942 29.705629, -97.73677 29.711046, -97.738369 29.712905, -97.744108 29.711887, -97.744933 29.71269, -97.746091 29.711298, -97.749654 29.711422, -97.74665 29.712556, -97.74772 29.714398, -97.749984 29.714631, -97.7519 29.71586, -97.754119 29.717802, -97.754293 29.718754))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
